2025-08-31 04:06:52,380 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:06:52,381 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:07:11,032 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:33:42,421 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:33:57,623 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:35:12,417 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:36:27,363 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:36:53,913 - RTPM_APP - INFO - Processing worker finished.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Data updater started.
2025-08-31 04:37:00,511 - RTPM_APP - INFO - Processing worker started.
2025-08-31 04:37:07,631 - RTPM_APP - WARNING - Frame sync mismatch: expected 84, got 82
2025-08-31 04:37:07,714 - RTPM_APP - WARNING - Frame sync mismatch: expected 85, got 83
2025-08-31 04:37:07,794 - RTPM_APP - WARNING - Frame sync mismatch: expected 86, got 84
2025-08-31 04:37:07,890 - RTPM_APP - WARNING - Frame sync mismatch: expected 87, got 85
2025-08-31 04:37:07,984 - RTPM_APP - WARNING - Frame sync mismatch: expected 88, got 86
2025-08-31 04:37:08,083 - RTPM_APP - WARNING - Frame sync mismatch: expected 89, got 87
2025-08-31 04:37:08,174 - RTPM_APP - WARNING - Frame sync mismatch: expected 90, got 88
2025-08-31 04:37:08,262 - RTPM_APP - WARNING - Frame sync mismatch: expected 91, got 89
2025-08-31 04:37:08,358 - RTPM_APP - WARNING - Frame sync mismatch: expected 92, got 90
2025-08-31 04:37:08,435 - RTPM_APP - WARNING - Frame sync mismatch: expected 93, got 91
2025-08-31 04:37:08,509 - RTPM_APP - WARNING - Frame sync mismatch: expected 94, got 92
2025-08-31 04:37:08,606 - RTPM_APP - WARNING - Frame sync mismatch: expected 95, got 93
2025-08-31 04:37:08,691 - RTPM_APP - WARNING - Frame sync mismatch: expected 96, got 94
2025-08-31 04:37:08,763 - RTPM_APP - WARNING - Frame sync mismatch: expected 97, got 95
2025-08-31 04:37:08,855 - RTPM_APP - WARNING - Frame sync mismatch: expected 98, got 96
2025-08-31 04:37:08,926 - RTPM_APP - WARNING - Frame sync mismatch: expected 99, got 97
2025-08-31 04:37:09,016 - RTPM_APP - WARNING - Frame sync mismatch: expected 100, got 98
2025-08-31 04:37:09,112 - RTPM_APP - WARNING - Frame sync mismatch: expected 101, got 99
2025-08-31 04:37:09,203 - RTPM_APP - WARNING - Frame sync mismatch: expected 102, got 100
2025-08-31 04:37:09,298 - RTPM_APP - WARNING - Frame sync mismatch: expected 103, got 101
2025-08-31 04:37:09,383 - RTPM_APP - WARNING - Frame sync mismatch: expected 104, got 102
2025-08-31 04:37:09,464 - RTPM_APP - WARNING - Frame sync mismatch: expected 105, got 103
2025-08-31 04:37:09,561 - RTPM_APP - WARNING - Frame sync mismatch: expected 106, got 104
2025-08-31 04:37:09,646 - RTPM_APP - WARNING - Frame sync mismatch: expected 107, got 105
2025-08-31 04:37:09,744 - RTPM_APP - WARNING - Frame sync mismatch: expected 108, got 106
2025-08-31 04:37:09,820 - RTPM_APP - WARNING - Frame sync mismatch: expected 109, got 107
2025-08-31 04:37:09,896 - RTPM_APP - WARNING - Frame sync mismatch: expected 110, got 108
2025-08-31 04:37:09,984 - RTPM_APP - WARNING - Frame sync mismatch: expected 111, got 109
2025-08-31 04:37:10,061 - RTPM_APP - WARNING - Frame sync mismatch: expected 112, got 110
2025-08-31 04:37:10,171 - RTPM_APP - WARNING - Frame sync mismatch: expected 113, got 111
2025-08-31 04:37:10,278 - RTPM_APP - WARNING - Frame sync mismatch: expected 114, got 112
2025-08-31 04:37:10,359 - RTPM_APP - WARNING - Frame sync mismatch: expected 115, got 113
2025-08-31 04:37:10,439 - RTPM_APP - WARNING - Frame sync mismatch: expected 116, got 114
2025-08-31 04:37:10,510 - RTPM_APP - WARNING - Frame sync mismatch: expected 117, got 115
2025-08-31 04:37:10,598 - RTPM_APP - WARNING - Frame sync mismatch: expected 118, got 116
2025-08-31 04:37:10,682 - RTPM_APP - WARNING - Frame sync mismatch: expected 119, got 117
2025-08-31 04:37:10,754 - RTPM_APP - WARNING - Frame sync mismatch: expected 120, got 118
2025-08-31 04:37:10,842 - RTPM_APP - WARNING - Frame sync mismatch: expected 121, got 119
2025-08-31 04:37:10,886 - RTPM_APP - WARNING - Frame sync mismatch: expected 122, got 120
2025-08-31 04:37:11,055 - RTPM_APP - WARNING - Frame sync mismatch: expected 123, got 121
2025-08-31 04:37:11,138 - RTPM_APP - WARNING - Frame sync mismatch: expected 124, got 122
2025-08-31 04:37:11,212 - RTPM_APP - WARNING - Frame sync mismatch: expected 125, got 123
2025-08-31 04:37:11,298 - RTPM_APP - WARNING - Frame sync mismatch: expected 126, got 124
2025-08-31 04:37:11,376 - RTPM_APP - WARNING - Frame sync mismatch: expected 127, got 125
2025-08-31 04:37:11,458 - RTPM_APP - WARNING - Frame sync mismatch: expected 128, got 126
2025-08-31 04:37:11,547 - RTPM_APP - WARNING - Frame sync mismatch: expected 129, got 127
2025-08-31 04:37:11,633 - RTPM_APP - WARNING - Frame sync mismatch: expected 130, got 128
2025-08-31 04:37:11,711 - RTPM_APP - WARNING - Frame sync mismatch: expected 131, got 129
2025-08-31 04:37:11,782 - RTPM_APP - WARNING - Frame sync mismatch: expected 132, got 130
2025-08-31 04:37:11,859 - RTPM_APP - WARNING - Frame sync mismatch: expected 133, got 131
2025-08-31 04:37:11,944 - RTPM_APP - WARNING - Frame sync mismatch: expected 134, got 132
2025-08-31 04:37:12,015 - RTPM_APP - WARNING - Frame sync mismatch: expected 135, got 133
2025-08-31 04:37:12,117 - RTPM_APP - WARNING - Frame sync mismatch: expected 136, got 134
2025-08-31 04:37:12,206 - RTPM_APP - WARNING - Frame sync mismatch: expected 137, got 135
2025-08-31 04:37:12,295 - RTPM_APP - WARNING - Frame sync mismatch: expected 138, got 136
2025-08-31 04:37:12,372 - RTPM_APP - WARNING - Frame sync mismatch: expected 139, got 137
2025-08-31 04:37:12,446 - RTPM_APP - WARNING - Frame sync mismatch: expected 140, got 138
2025-08-31 04:37:12,541 - RTPM_APP - WARNING - Frame sync mismatch: expected 141, got 139
2025-08-31 04:37:12,614 - RTPM_APP - WARNING - Frame sync mismatch: expected 142, got 140
2025-08-31 04:37:12,684 - RTPM_APP - WARNING - Frame sync mismatch: expected 143, got 141
2025-08-31 04:37:12,790 - RTPM_APP - WARNING - Frame sync mismatch: expected 144, got 142
2025-08-31 04:37:12,884 - RTPM_APP - WARNING - Frame sync mismatch: expected 145, got 143
2025-08-31 04:37:12,973 - RTPM_APP - WARNING - Frame sync mismatch: expected 146, got 144
2025-08-31 04:37:13,056 - RTPM_APP - WARNING - Frame sync mismatch: expected 147, got 145
2025-08-31 04:37:13,134 - RTPM_APP - WARNING - Frame sync mismatch: expected 148, got 146
2025-08-31 04:37:13,229 - RTPM_APP - WARNING - Frame sync mismatch: expected 149, got 147
2025-08-31 04:37:13,321 - RTPM_APP - WARNING - Frame sync mismatch: expected 150, got 148
2025-08-31 04:37:13,405 - RTPM_APP - WARNING - Frame sync mismatch: expected 151, got 149
2025-08-31 04:37:13,485 - RTPM_APP - WARNING - Frame sync mismatch: expected 152, got 150
2025-08-31 04:37:13,565 - RTPM_APP - WARNING - Frame sync mismatch: expected 153, got 151
2025-08-31 04:37:13,656 - RTPM_APP - WARNING - Frame sync mismatch: expected 154, got 152
2025-08-31 04:37:13,737 - RTPM_APP - WARNING - Frame sync mismatch: expected 155, got 153
2025-08-31 04:37:13,817 - RTPM_APP - WARNING - Frame sync mismatch: expected 156, got 154
